Brain_LV1,Behav_LV1,Brain_LV2,Behav_LV2,Brain_LV3,Behav_LV3
1.3667467,-0.89219546,3.3021209,1.4505889,-1.8180432,-1.2790849
-5.0605145,0.1728739,-0.3693513,1.2952367,-6.0375547,-2.4867408
0.20794249,0.84781986,-1.6000429,0.48946211,-5.7063131,-0.8320666
-2.3925943,-0.8743673,-0.45322177,-0.099485703,3.2078211,1.4642897
-1.6959996,0.49879658,5.2708111,2.6479638,-1.8687947,-0.22466084
-0.67015368,-0.90521115,-0.77489179,-1.137848,-2.0545611,0.83137786
-4.0982151,-0.92393911,0.26811478,-0.14787841,-1.8620631,-0.92465556
2.3292396,0.2453927,1.0753798,0.80223471,1.9971397,1.9706975
0.98238802,-1.4896924,2.4843831,0.62449795,0.36867771,-1.0476851
1.3459681,0.29315802,1.0568218,0.23702025,1.4130452,0.34396756
-2.7548788,-0.46256113,0.27242935,-1.2873571,-5.4669442,-1.3571094
2.2426705,-0.052106075,-4.4370389,-0.96878219,-1.8712999,-1.0661288
-0.04268866,0.64775479,2.1739278,0.51151633,2.1879756,-0.2629509
6.0973101,-0.81662732,1.7183394,2.3750043,0.56519669,-1.0033165
-3.4889803,-2.9662373,-1.9672096,-0.90110761,3.5575368,0.50629276
-1.3652022,0.84026444,-1.5760012,0.054502893,2.9455214,2.6356416
2.1602879,0.80670136,3.0100007,0.14827527,-1.5521642,-0.18455328
-2.1005614,-1.8251154,0.77016014,0.93824291,-3.7182384,1.0285625
-1.803205,0.15902089,0.49371925,0.71092576,-3.3664522,-0.27141598
0.66198748,-4.3000278,4.345984,1.33304,6.4393163,0.15677342
-4.5028453,-3.1359198,2.8540342,-1.0546659,-0.33416754,0.52637631
1.3991801,2.1860867,-0.76982993,-0.64699942,-0.011163824,0.92571217
2.9731195,1.7099606,-0.32881969,-0.12565222,-0.056514058,1.6670164
-1.9296867,-2.9799745,-2.0151291,-0.17971124,2.5146439,-0.28748807
-2.8059132,-0.41724202,1.4542041,0.092546187,5.055871,0.92938668
1.7199143,0.61168957,1.6059529,0.418989,-0.083179913,-0.50916916
-4.9331512,-2.2053802,5.165504,1.5958729,1.0858477,-0.63135701
4.2668986,-1.2240913,2.1289771,-0.43470556,8.3649406,2.6538308
0.33122495,0.019087303,0.32240254,-0.53452712,1.5604131,0.12907305
1.0771713,2.2569368,0.78343815,2.9157436,-1.803808,0.21178158
-0.13938075,2.3012919,0.70372683,0.65013736,-2.1328678,-1.7459809
0.73193276,0.75776899,-0.85432476,0.35402781,-2.5708125,-0.87268114
-0.9027794,-0.67368895,-3.1400363,0.19217603,1.6926554,-1.8101263
0.77510184,-5.1178708,-2.9937553,-0.46619797,1.8353175,1.3209591
4.150558,1.0209209,0.5210849,-0.85926992,-1.1177711,0.15871634
1.1996074,0.94672137,1.309086,-0.027504437,0.53674918,-0.25910741
-0.75680411,0.49860045,3.0732546,4.5567698,-0.84049267,0.50120586
-6.6730356,-4.1299763,-3.9739954,-1.5359374,-4.0975318,-1.0672917
-0.2587626,0.72211307,4.3637466,0.94756061,1.0890902,-2.1340177
4.0414767,1.1548486,1.9562348,0.93487096,2.9252424,0.45265266
-4.4278545,-3.9812136,-3.7654088,-1.1117703,0.089880325,0.1810942
1.9955728,-0.25408801,5.3924313,5.0445094,-0.25640225,-0.56007606
2.5969796,0.55600792,-0.7956115,-1.4296147,0.72849661,0.10046269
1.8040222,1.3644561,1.8247726,-0.27247247,0.60371655,0.57830107
3.6272211,0.081556045,-2.8794281,0.42872289,2.0497611,1.917716
6.4996281,0.18431316,-0.57491803,0.86616784,0.086578108,-0.63288128
2.5126436,-1.3659561,-4.4124136,-0.97516686,0.16749014,1.4236171
-2.096447,2.1263912,2.3422694,0.63592714,-2.6911714,-0.25880721
5.7972355,1.4816295,-0.20112669,0.10878608,-2.6646974,0.030996289
2.6298728,1.8106759,0.20337713,-0.67045212,-1.5361649,0.5977366
1.6765311,2.3317473,1.7894754,2.4209802,4.3484845,0.25707969
2.491555,0.019217631,-1.4920686,-0.056879744,1.2138721,-0.49045905
0.15555213,1.3510084,1.5918115,-0.22536261,-1.7257669,0.65920091
0.73073715,1.3767244,3.3331285,-0.011636231,0.038691025,1.3247151
0.46454003,1.6876078,0.78216702,-0.23057456,-0.77117115,0.90945518
1.5989538,1.8762608,-0.38677356,-0.46424061,-1.7186253,-0.27846053
3.3928461,2.4690127,-1.7663862,1.8490992,-2.0080273,-1.1693463
0.27708521,1.6405277,-1.0250492,-0.86166865,3.6763244,1.9238228
6.1187701,1.5302638,-2.974674,-0.96131498,-3.2069261,-1.7473963
2.0933177,0.96077526,2.6182272,1.2334262,-1.0122632,1.8932952
2.8026373,1.6219851,2.0262055,-0.52396494,3.3256197,0.29831269
-2.6264362,-0.36139119,0.38298732,-0.31937107,2.7081251,-0.67045462
1.2588084,2.1078613,0.72802484,-0.041182429,-1.650991,1.2984329
0.94359964,2.23774,-0.7573505,-0.93375397,-1.5436811,1.3362485
1.2145431,2.9223294,2.9335611,0.00084529334,0.89664948,-1.2670748
1.7021046,1.5755825,0.27914986,-0.62024528,5.9994965,0.53818542
3.1067586,0.55921739,-1.5301114,0.23687404,0.32414103,1.8372043
4.6285267,3.4155426,0.49261707,0.14110485,1.6691707,0.4673343
2.2821591,1.7968129,0.15358005,-0.12106149,2.241364,1.4959711
1.504941,1.7241827,-2.3208852,-1.9133404,0.26634568,0.39419606
2.2209876,2.7394865,1.4010787,1.524597,1.7865027,-0.055442624
0.15328737,1.3764796,-1.5752372,-0.30782148,1.3429466,-0.20699733
4.0035877,2.3794637,-4.1214681,-1.2777294,2.7732892,0.66434425
1.4262028,1.8462762,-2.2880647,-0.9222219,-2.7173626,2.1617596
1.9433739,1.7060808,-1.6486121,-1.6815326,-0.42721468,-0.065573156
-1.0486346,1.9548535,1.594443,-0.62185484,-4.8369131,-0.30595818
3.0325813,2.4265878,1.7035674,-0.81047356,1.2512828,0.34315547
0.55929571,-0.21357068,-0.73842835,-0.09658923,1.1687009,-0.45906258
0.93508726,2.8549452,1.4701864,-0.81266105,3.1163743,-0.78138506
1.4102905,1.3517548,-1.5484904,-0.7411871,-1.0380231,-0.98176605
2.7068732,2.5579741,-0.031193195,-0.46472448,0.74976546,-0.38847128
-1.7336245,2.2236886,0.56200588,0.33907789,0.53687942,-1.1242826
3.2691782,2.2276235,-2.7188993,-2.7889452,-4.3247476,-2.7332788
