,Granularity,Iteration,Corr_mean,Corr_median,Corr_std,Recon_errorA,Recon_errorB
0,2,1,0.9680791038712564,0.990537849360112,0.07789237055733203,3625.576249150516,3571.408590476933
0,2,2,0.9629152120725261,0.9892917840663822,0.08638707284988645,3585.692478585755,3610.8011617983598
0,2,3,0.971657497153028,0.9913255920666384,0.08287028135994036,3594.625358296922,3603.994550151143
0,2,4,0.9657155557636679,0.9899080459507903,0.08306390880445386,3607.226825805972,3591.89187580999
0,2,5,0.9673801616233663,0.9903018838160212,0.07979524725461214,3597.697959284868,3600.229704680744
0,2,6,0.9752673582501266,0.9928877231038009,0.06385646822481904,3627.274484023914,3573.037279546444
0,2,7,0.9639868439659164,0.9890973014865306,0.08544689000046087,3618.999083815339,3581.5017159724175
0,2,8,0.9655674807719223,0.9899831703949253,0.08322763921168466,3609.8906775249584,3587.915329072696
0,2,9,0.9686040618528715,0.9907142797458215,0.08132773238669337,3598.8742592911603,3597.820250007819
0,2,10,0.9718547196203883,0.9914566502230541,0.07219184438662608,3615.1180102119188,3587.1075794433323
0,3,1,0.9783924424713172,0.9886626145962454,0.04009728661729499,3348.621670000004,3293.8799285176838
0,3,2,0.9772680484485358,0.9887113776337646,0.036806460095986884,3308.226466893498,3333.5046573881327
0,3,3,0.9790685726848539,0.9891471658420616,0.04021591722693729,3303.016147043933,3339.1522490213642
0,3,4,0.9752616386132131,0.9874661628522897,0.03938873460118228,3333.25645466632,3310.4918853539675
0,3,5,0.9777913772614018,0.9893867387805608,0.04162946904313249,3316.4603166794927,3326.663850485249
0,3,6,0.9782276809316602,0.988842548872632,0.03770187908285834,3339.6251304450125,3305.1603573771536
0,3,7,0.9675784109592843,0.9833131000604488,0.05223009279537463,3337.7054727747577,3306.372944818463
0,3,8,0.9742569209465657,0.9870408853669674,0.04052257946794646,3334.129415068461,3308.341485044661
0,3,9,0.9816512140428642,0.9911722353465007,0.034752087434197845,3315.237053415717,3325.937120725073
0,3,10,0.9801354091866976,0.990355932964972,0.03592725947875438,3353.0519081094244,3292.149434062585
0,4,1,0.9668621889423354,0.9833289091798973,0.049073982247775295,3210.7257265188364,3155.1047232610026
0,4,2,0.9609049631921277,0.9794395600980307,0.054984984253834614,3161.614946325481,3202.6477689395792
0,4,3,0.9551105399874057,0.977190135235426,0.06485378155194674,3159.012322958585,3206.295619388657
0,4,4,0.9613663966776131,0.9792662441584542,0.04969420270429737,3194.644286537337,3171.65888460334
0,4,5,0.9499073860087852,0.9759254010161267,0.07488745744584371,3172.151682752885,3194.380469664729
0,4,6,0.9675216494527991,0.9838908655440282,0.05091637099874746,3200.547661539012,3166.927202500065
0,4,7,0.9378491852697936,0.9675332469493182,0.08032559083226445,3192.9634423354955,3173.539681969786
0,4,8,0.9686409871734998,0.9826395814751132,0.041536250100121255,3191.0779960941272,3174.368123142644
0,4,9,0.9390753840948236,0.969654742556542,0.08554523219415164,3170.2757909434717,3192.0533371566407
0,4,10,0.9749089084148344,0.9872413335213978,0.036985746925708815,3217.3179986002283,3151.8218458560596
0,5,1,0.7172397058699534,0.7637149073531058,0.1841171865194202,3100.9032287217988,3068.585869499971
0,5,2,0.9491280860400381,0.9717173222997935,0.07443331464248563,3050.5322208009134,3090.5649964189715
0,5,3,0.7606353474009394,0.8353398486209055,0.1621151641711826,3047.874067777524,3167.3000289695506
0,5,4,0.7232870319671161,0.7545218943000831,0.17173086085559383,3087.2590359485216,3083.133916994295
0,5,5,0.7663857105210534,0.8078366596780802,0.16907883808440022,3061.053121033666,3156.5245293029734
0,5,6,0.7492599623310321,0.8208387078169328,0.19089469446945834,3098.570121153202,3056.5401853680323
0,5,7,0.7497897458879187,0.8084618044037692,0.17864272657519897,3084.0174318391223,3134.122106655206
0,5,8,0.9367608601459112,0.9611455003611657,0.08917156945546309,3079.5612900682017,3064.108550425837
0,5,9,0.7603671193399557,0.8150251245719042,0.17334274703543331,3063.7294367831437,3152.719682470566
0,5,10,0.7729686698798924,0.8240527477849717,0.18137588107244831,3111.2650616699634,3052.4433242307878
0,6,1,0.6877302034132317,0.740349352798447,0.18649043577147886,3062.8068634466877,3033.7950303642383
0,6,2,0.662586858869202,0.6610686071120615,0.13535445335565793,2984.000383188621,3093.132028787523
0,6,3,0.7830177501035152,0.8429367367135405,0.20834169347525747,3027.2190912172164,3102.036564676991
0,6,4,0.7004640550860223,0.7181412411801,0.13592360857561114,3017.8984069890007,3060.539639816534
0,6,5,0.8022124100614437,0.8887227006743057,0.1846671306482825,2992.685638097871,3033.783490338606
0,6,6,0.6958251848441855,0.7517833937754675,0.18061356981903035,3062.9575439379805,3022.7997348645717
0,6,7,0.6437365766992404,0.6864298077604359,0.17837669270630999,3016.3633065475105,3080.028144833979
0,6,8,0.9254936868813503,0.9585655871199454,0.10502189425943197,3009.6164873468942,2998.4699510780697
0,6,9,0.7655842333334651,0.8307025476173457,0.1772570203935792,2992.5855059404525,3093.863655166205
0,6,10,0.8721587850069846,0.9100369806172499,0.13521289827992947,3042.404451104028,2978.613227094557
0,7,1,0.6574508710635254,0.6768083820100946,0.18339297202632523,2990.0631142497664,3001.238075765174
0,7,2,0.8084874967023233,0.8705324760196649,0.1367823373417853,2937.52164445133,2980.7290140803225
0,7,3,0.8363530345576281,0.8788760695472976,0.1607711771509598,2950.8877332313514,3028.667300866219
0,7,4,0.870031703745431,0.9241829112256565,0.14949897825988143,2978.555854519853,2948.919938847269
0,7,5,0.7400653242685344,0.8152959057033862,0.20064895657952153,2965.0151661737864,2995.642989409315
0,7,6,0.7945914701268487,0.8514451031962933,0.16115601703981808,2975.091303745642,2958.4517274721698
0,7,7,0.7248048754136384,0.8089273380627731,0.20406029781105908,2984.0818662464185,2983.5041626562706
0,7,8,0.7614114997919917,0.8191784685789546,0.1476204357284165,3013.3143601701113,2957.613999421793
0,7,9,0.7426799272433128,0.8271049670425098,0.1939742765189466,2949.029495560749,3067.1878326492288
0,7,10,0.8754505111177188,0.9286497394283586,0.14978868849127253,3007.27120971725,2936.128382541756
0,8,1,0.8145429945822894,0.8862438928865777,0.172400739432419,2946.864178535121,2903.133827263747
0,8,2,0.7656435582939012,0.8405549461397699,0.1785516813986116,2906.4092723198455,2954.853598897693
